position,token,char_start,char_end,region,weight,index
0,<|begin_of_text|>,0,0,special,0.0007379329181276262,0
1,How,0,3,original,6.928055518073961e-05,0
2,Ġdo,3,6,original,1.2507521205407102e-05,0
3,ĠI,6,8,original,9.061122909770347e-06,0
4,Ġlocate,8,15,original,7.27000369806774e-05,0
5,Ġmy,15,18,original,0.0007502789958380163,0
6,Ġcard,18,23,original,0.0182349793612957,0
7,?,23,24,original,0.793975293636322,0
8,Ġwhat,24,29,noise,0.0011043841950595379,0
9,Ġis,29,32,noise,5.167889685253613e-05,0
10,Ġthe,32,36,noise,0.0001761003804858774,0
11,Ġexpected,36,45,noise,0.00040534287109039724,0
12,Ġtimeline,45,54,noise,0.0046673971228301525,0
13,?,54,55,noise,0.17973299324512482,0
14,<|reserved_special_token_15|>,0,0,pad,0.0,0
15,<|reserved_special_token_15|>,0,0,pad,0.0,0
16,<|reserved_special_token_15|>,0,0,pad,0.0,0
17,<|reserved_special_token_15|>,0,0,pad,0.0,0
18,<|reserved_special_token_15|>,0,0,pad,0.0,0
19,<|reserved_special_token_15|>,0,0,pad,0.0,0
20,<|reserved_special_token_15|>,0,0,pad,0.0,0
21,<|reserved_special_token_15|>,0,0,pad,0.0,0
22,<|reserved_special_token_15|>,0,0,pad,0.0,0
23,<|reserved_special_token_15|>,0,0,pad,0.0,0
24,<|reserved_special_token_15|>,0,0,pad,0.0,0
25,<|reserved_special_token_15|>,0,0,pad,0.0,0
26,<|reserved_special_token_15|>,0,0,pad,0.0,0
27,<|reserved_special_token_15|>,0,0,pad,0.0,0
28,<|reserved_special_token_15|>,0,0,pad,0.0,0
29,<|reserved_special_token_15|>,0,0,pad,0.0,0
30,<|reserved_special_token_15|>,0,0,pad,0.0,0
31,<|reserved_special_token_15|>,0,0,pad,0.0,0
32,<|reserved_special_token_15|>,0,0,pad,0.0,0
33,<|reserved_special_token_15|>,0,0,pad,0.0,0
34,<|reserved_special_token_15|>,0,0,pad,0.0,0
35,<|reserved_special_token_15|>,0,0,pad,0.0,0
36,<|reserved_special_token_15|>,0,0,pad,0.0,0
37,<|reserved_special_token_15|>,0,0,pad,0.0,0
38,<|reserved_special_token_15|>,0,0,pad,0.0,0
39,<|reserved_special_token_15|>,0,0,pad,0.0,0
40,<|reserved_special_token_15|>,0,0,pad,0.0,0
41,<|reserved_special_token_15|>,0,0,pad,0.0,0
42,<|reserved_special_token_15|>,0,0,pad,0.0,0
43,<|reserved_special_token_15|>,0,0,pad,0.0,0
44,<|reserved_special_token_15|>,0,0,pad,0.0,0
45,<|reserved_special_token_15|>,0,0,pad,0.0,0
46,<|reserved_special_token_15|>,0,0,pad,0.0,0
47,<|reserved_special_token_15|>,0,0,pad,0.0,0
48,<|reserved_special_token_15|>,0,0,pad,0.0,0
49,<|reserved_special_token_15|>,0,0,pad,0.0,0
50,<|reserved_special_token_15|>,0,0,pad,0.0,0
51,<|reserved_special_token_15|>,0,0,pad,0.0,0
52,<|reserved_special_token_15|>,0,0,pad,0.0,0
53,<|reserved_special_token_15|>,0,0,pad,0.0,0
54,<|reserved_special_token_15|>,0,0,pad,0.0,0
55,<|reserved_special_token_15|>,0,0,pad,0.0,0
56,<|reserved_special_token_15|>,0,0,pad,0.0,0
57,<|reserved_special_token_15|>,0,0,pad,0.0,0
58,<|reserved_special_token_15|>,0,0,pad,0.0,0
59,<|reserved_special_token_15|>,0,0,pad,0.0,0
60,<|reserved_special_token_15|>,0,0,pad,0.0,0
61,<|reserved_special_token_15|>,0,0,pad,0.0,0
62,<|reserved_special_token_15|>,0,0,pad,0.0,0
63,<|reserved_special_token_15|>,0,0,pad,0.0,0
64,<|reserved_special_token_15|>,0,0,pad,0.0,0
65,<|reserved_special_token_15|>,0,0,pad,0.0,0
66,<|reserved_special_token_15|>,0,0,pad,0.0,0
67,<|reserved_special_token_15|>,0,0,pad,0.0,0
68,<|reserved_special_token_15|>,0,0,pad,0.0,0
69,<|reserved_special_token_15|>,0,0,pad,0.0,0
70,<|reserved_special_token_15|>,0,0,pad,0.0,0
71,<|reserved_special_token_15|>,0,0,pad,0.0,0
72,<|reserved_special_token_15|>,0,0,pad,0.0,0
73,<|reserved_special_token_15|>,0,0,pad,0.0,0
74,<|reserved_special_token_15|>,0,0,pad,0.0,0
75,<|reserved_special_token_15|>,0,0,pad,0.0,0
76,<|reserved_special_token_15|>,0,0,pad,0.0,0
77,<|reserved_special_token_15|>,0,0,pad,0.0,0
78,<|reserved_special_token_15|>,0,0,pad,0.0,0
79,<|reserved_special_token_15|>,0,0,pad,0.0,0
80,<|reserved_special_token_15|>,0,0,pad,0.0,0
81,<|reserved_special_token_15|>,0,0,pad,0.0,0
82,<|reserved_special_token_15|>,0,0,pad,0.0,0
83,<|reserved_special_token_15|>,0,0,pad,0.0,0
84,<|reserved_special_token_15|>,0,0,pad,0.0,0
85,<|reserved_special_token_15|>,0,0,pad,0.0,0
86,<|reserved_special_token_15|>,0,0,pad,0.0,0
87,<|reserved_special_token_15|>,0,0,pad,0.0,0
88,<|reserved_special_token_15|>,0,0,pad,0.0,0
89,<|reserved_special_token_15|>,0,0,pad,0.0,0
90,<|reserved_special_token_15|>,0,0,pad,0.0,0
91,<|reserved_special_token_15|>,0,0,pad,0.0,0
92,<|reserved_special_token_15|>,0,0,pad,0.0,0
93,<|reserved_special_token_15|>,0,0,pad,0.0,0
94,<|reserved_special_token_15|>,0,0,pad,0.0,0
95,<|reserved_special_token_15|>,0,0,pad,0.0,0
96,<|reserved_special_token_15|>,0,0,pad,0.0,0
97,<|reserved_special_token_15|>,0,0,pad,0.0,0
98,<|reserved_special_token_15|>,0,0,pad,0.0,0
99,<|reserved_special_token_15|>,0,0,pad,0.0,0
100,<|reserved_special_token_15|>,0,0,pad,0.0,0
101,<|reserved_special_token_15|>,0,0,pad,0.0,0
102,<|reserved_special_token_15|>,0,0,pad,0.0,0
103,<|reserved_special_token_15|>,0,0,pad,0.0,0
104,<|reserved_special_token_15|>,0,0,pad,0.0,0
105,<|reserved_special_token_15|>,0,0,pad,0.0,0
106,<|reserved_special_token_15|>,0,0,pad,0.0,0
107,<|reserved_special_token_15|>,0,0,pad,0.0,0
108,<|reserved_special_token_15|>,0,0,pad,0.0,0
