content_tokens,original_tokens,noise_tokens,original_mass,noise_mass,special_mass,original_mean_weight,noise_mean_weight,top_k_original_fraction,top_tokens,index,label,pred,clean_span_found,text,clean_text
13,7,6,0.8131241012297323,0.18613789671144332,0.0007379329181276262,0.11616058588996177,0.031022982785240554,0.4,?:0.7940:original ?:0.1797:noise Ġcard:0.0182:original Ġtimeline:0.0047:noise Ġwhat:0.0011:noise,0,11,41,True,How do I locate my card? what is the expected timeline?,How do I locate my card?
22,16,6,0.8964360802583542,0.10353234646572673,3.159237894578837e-05,0.05602725501614714,0.017255391077621123,0.8,",:0.5728:original .:0.2907:original ?:0.0973:noise Ġcard:0.0172:original Ġago:0.0066:original",1,11,11,True,"I still have not received my new card, I ordered over a week ago. what is the expected timeline?","I still have not received my new card, I ordered over a week ago."
16,13,3,0.9999615719957546,6.246678253774007e-06,3.225300679332577e-05,0.07692012092275036,2.0822260845913356e-06,1.0,.:0.5735:original Ġarrived:0.4086:original !:0.0094:original Ġnot:0.0073:original Ġbut:0.0007:original,2,11,11,True,"Hello there, I ordered a card but it has not arrived. Help please!",I ordered a card but it has not arrived. Help please!
21,12,9,0.9953009278424361,0.004674277112940217,2.4779626983217895e-05,0.08294174398686967,0.0005193641236600241,0.6,?:0.5178:original Ġarrive:0.4762:original ?:0.0027:noise Ġthis:0.0016:noise Ġwill:0.0008:original,3,11,12,True,Is there a way to know when my card will arrive? is there a formal way to resolve this?,Is there a way to know when my card will arrive?
10,7,3,0.9999939755318223,9.850289046653415e-07,5.085926659376128e-06,0.14285628221883176,3.283429682217805e-07,1.0,Ġyet:0.4377:original .:0.4184:original Ġarrived:0.1436:original Ġcard:0.0001:original Ġnot:0.0001:original,4,11,11,True,"Hello there, My card has not arrived yet.",My card has not arrived yet.
13,7,6,0.6694782466756806,0.33018691579491133,0.00033481320133432746,0.09563974952509723,0.055031152632485224,0.4,?:0.6647:original ?:0.3217:noise Ġtimeline:0.0080:noise Ġcard:0.0045:original Ġexpected:0.0004:noise,5,11,12,True,When will I get my card? what is the expected timeline?,When will I get my card?
20,17,3,0.9775687238176687,0.02240481048283982,2.6385330784250982e-05,0.05750404257750992,0.007468270160946607,0.8,?:0.8677:original Ġme:0.0520:original Ġsent:0.0369:original .:0.0203:noise Ġcard:0.0148:original,6,11,11,True,Do you know if there is a tracking number for the new card you sent me? please advise.,Do you know if there is a tracking number for the new card you sent me?
12,6,6,0.9639424957131268,0.005127929194713943,0.030929511412978172,0.16065708261885447,0.0008546548657856571,0.8,"Ġcard:0.9235:original Ġmy:0.0242:original Ġreceived:0.0126:original Ġnot:0.0029:original ,:0.0020:noise",7,11,11,True,"I would like to ask, i have not received my card",i have not received my card
8,5,3,0.9954058964794967,0.0008181494777090847,0.0037760110571980476,0.19908117929589936,0.00027271649256969493,0.8,Ġcard:0.9922:original Ġwaiting:0.0016:original Ġthat:0.0007:original Ġon:0.0007:original Good:0.0003:noise,8,11,11,True,"Good afternoon, still waiting on that card",still waiting on that card
22,15,7,0.9999534020699343,6.6319578877482854e-06,3.992572601418942e-05,0.06666356013799563,9.474225553926122e-07,1.0,?:0.9464:original Ġcard:0.0533:original Ġweek:0.0002:original Ġnew:0.0001:original Ġfor:0.0000:original,9,11,11,True,"I’m hoping you can clarify, Is it normal to have to wait over a week for my new card?",Is it normal to have to wait over a week for my new card?
